run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,49.947609118,0.000000000,0.343578235,0.096125450
2,49.891720895,0.000000000,0.343480869,0.095939530
3,49.950611945,0.000000000,0.338781038,0.096187184
4,49.990428868,0.000000000,0.338709745,0.095437861
5,50.051169176,0.000000000,0.338895729,0.095820173
6,49.986100964,0.000000000,0.339036865,0.095717573
7,50.040398583,0.000000000,0.339960713,0.095798168
8,49.987298365,0.000000000,0.339168020,0.095752629
9,50.104327911,0.000000000,0.338408910,0.095501967
10,49.987407182,0.000000000,0.341329525,0.095972977
