run_id,total_time_s,metrics_file,timing_file,log_file
1,55.581346470,Results/np1/static_threshold_threshold_0p01/metrics_run_1.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_1.txt,Results/np1/static_threshold_threshold_0p01/logs/run_1.out
2,56.127235454,Results/np1/static_threshold_threshold_0p01/metrics_run_2.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_2.txt,Results/np1/static_threshold_threshold_0p01/logs/run_2.out
3,56.014311897,Results/np1/static_threshold_threshold_0p01/metrics_run_3.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_3.txt,Results/np1/static_threshold_threshold_0p01/logs/run_3.out
4,55.935808204,Results/np1/static_threshold_threshold_0p01/metrics_run_4.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_4.txt,Results/np1/static_threshold_threshold_0p01/logs/run_4.out
5,56.063148816,Results/np1/static_threshold_threshold_0p01/metrics_run_5.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_5.txt,Results/np1/static_threshold_threshold_0p01/logs/run_5.out
6,55.949320222,Results/np1/static_threshold_threshold_0p01/metrics_run_6.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_6.txt,Results/np1/static_threshold_threshold_0p01/logs/run_6.out
7,55.398972060,Results/np1/static_threshold_threshold_0p01/metrics_run_7.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_7.txt,Results/np1/static_threshold_threshold_0p01/logs/run_7.out
8,56.032419717,Results/np1/static_threshold_threshold_0p01/metrics_run_8.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_8.txt,Results/np1/static_threshold_threshold_0p01/logs/run_8.out
9,56.011041962,Results/np1/static_threshold_threshold_0p01/metrics_run_9.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_9.txt,Results/np1/static_threshold_threshold_0p01/logs/run_9.out
10,55.494889941,Results/np1/static_threshold_threshold_0p01/metrics_run_10.csv,Results/np1/static_threshold_threshold_0p01/total_time_run_10.txt,Results/np1/static_threshold_threshold_0p01/logs/run_10.out
