run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,52.310032290,0.000000000,0.256087077,0.089373032
2,51.702634274,0.000000000,0.255748169,0.089646635
3,52.223280824,0.000000000,0.255604697,0.089633708
4,52.396740729,0.000000000,0.255788826,0.089455344
5,52.286858229,0.000000000,0.256000760,0.089129407
6,52.274441122,0.000000000,0.255440082,0.089513274
7,52.287785118,0.000000000,0.256213842,0.089648793
8,51.700160564,0.000000000,0.255970025,0.089614687
9,52.390262354,0.000000000,0.256503102,0.089541671
10,52.230086500,0.000000000,0.255967993,0.089542702
