run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
1,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=101.232; migration_cost=0.0206743; max_migrated_bytes=1280000; T_comp_int_per_iter=0.0104101; T_comp_bal_per_iter=0.000184633,10.410050158,9.224230048,0.352621757,0.142333973,10.410050158,9.224230048,0.352621757,0.142333973,0.250000000|0.500000000|0.750000000|1.000000000,0.497500002|0.504999995|0.995625019|1.000000000,0.497500002|0.504999995|0.995625019|1.000000000,0.092768448|6.118093773|0.094080448|10.410050158
1,1100,profiled,rebalance,adaptive decision accepted; remaining_iterations=8900; gain_total=7.88358; migration_cost=0.0176426; max_migrated_bytes=1040000; T_comp_int_per_iter=0.00248023; T_comp_bal_per_iter=0.00159443,2.480227786,1.898013086,0.032728135,0.023245120,12.890277944,11.122243134,0.385349892,0.165579093,0.497500002|0.504999995|0.995625019|1.000000000,0.494687498|0.500937521|0.997187495|1.000000000,0.494687498|0.500937521|0.997187495|1.000000000,1.598209728|1.901699597|1.571126080|2.480227786
1,2100,profiled,rebalance,adaptive decision accepted; remaining_iterations=7900; gain_total=0.0336566; migration_cost=0.0135712; max_migrated_bytes=800000; T_comp_int_per_iter=0.00158987; T_comp_bal_per_iter=0.00158561,1.589867104,1.846509879,0.023695917,0.013840195,14.480145048,12.968753013,0.409045809,0.179419288,0.494687498|0.500937521|0.997187495|1.000000000,0.490624994|0.497812510|0.997187495|1.000000000,0.490624994|0.497812510|0.997187495|1.000000000,1.589867104|1.378788505|1.567117600|1.520064749
1,3100,profiled,rebalance,adaptive decision accepted; remaining_iterations=6900; gain_total=0.0702718; migration_cost=0.0122141; max_migrated_bytes=720000; T_comp_int_per_iter=0.00157735; T_comp_bal_per_iter=0.00156716,1.577348896,1.870547943,0.023846007,0.011740751,16.057493944,14.839300956,0.432891816,0.191160039,0.490624994|0.497812510|0.997187495|1.000000000,0.493124992|0.500625014|0.996562481|1.000000000,0.493124992|0.500625014|0.996562481|1.000000000,1.557875776|1.492623076|1.577348896|1.282225565
1,4100,profiled,skip,adaptive decision rejected; remaining_iterations=5900; gain_total=0; migration_cost=0.0014425; max_migrated_bytes=80000; T_comp_int_per_iter=0.00156666; T_comp_bal_per_iter=0.00157547,1.566663840,1.791975312,0.012548472,0.000000000,17.624157784,16.631276268,0.445440288,0.191160039,0.493124992|0.500625014|0.996562481|1.000000000,0.492812514|0.500312507|0.995625019|1.000000000,0.493124992|0.500625014|0.996562481|1.000000000,1.565500864|1.534816165|1.566663840|1.237866358
1,5100,profiled,skip,adaptive decision rejected; remaining_iterations=4900; gain_total=0; migration_cost=0.00251015; max_migrated_bytes=160000; T_comp_int_per_iter=0.00156621; T_comp_bal_per_iter=0.00160059,1.566213792,1.851227816,0.009732382,0.000000000,19.190371576,18.482504084,0.455172670,0.191160039,0.493124992|0.500625014|0.996562481|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,0.493124992|0.500625014|0.996562481|1.000000000,1.565784448|1.513662604|1.566213792|1.100402308
1,6100,profiled,rebalance,adaptive decision accepted; remaining_iterations=3900; gain_total=0.0115517; migration_cost=0.00251015; max_migrated_bytes=160000; T_comp_int_per_iter=0.00156688; T_comp_bal_per_iter=0.00156392,1.566880704,1.828679262,0.014582054,0.004461073,20.757252280,20.311183346,0.469754724,0.195621112,0.493124992|0.500625014|0.996562481|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,1.565585312|1.504042752|1.566880704|1.054085344
1,7100,profiled,skip,adaptive decision rejected; remaining_iterations=2900; gain_total=0; migration_cost=0.0014425; max_migrated_bytes=80000; T_comp_int_per_iter=0.00156397; T_comp_bal_per_iter=0.00157014,1.563971840,1.832769540,0.009791189,0.000000000,22.321224120,22.143952886,0.479545913,0.195621112,0.492500007|0.500000000|0.995000005|1.000000000,0.491874993|0.499687493|0.994374990|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,1.563971840|1.507338047|1.563048416|1.370906634
1,8100,profiled,skip,adaptive decision rejected; remaining_iterations=1900; gain_total=0; migration_cost=0.0014425; max_migrated_bytes=80000; T_comp_int_per_iter=0.00156422; T_comp_bal_per_iter=0.00159543,1.564217504,1.810700575,0.009329115,0.000000000,23.885441624,23.954653461,0.488875028,0.195621112,0.492500007|0.500000000|0.995000005|1.000000000,0.491874993|0.499687493|0.994062483|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,1.563875008|1.496874327|1.564217504|1.343518344
1,9100,profiled,rebalance,adaptive decision accepted; remaining_iterations=900; gain_total=0.00178648; migration_cost=0.0014425; max_migrated_bytes=80000; T_comp_int_per_iter=0.00156416; T_comp_bal_per_iter=0.00156218,1.564161056,1.818074883,0.012435538,0.002708534,25.449602680,25.772728344,0.501310566,0.198329646,0.492500007|0.500000000|0.995000005|1.000000000,0.491874993|0.499687493|0.994062483|1.000000000,0.491874993|0.499687493|0.994062483|1.000000000,1.564161056|1.498134459|1.564130656|1.298062317
