run_id,total_time_s,metrics_file,timing_file,log_file
1,36.397995886,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_1.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_1.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_1.out
2,35.847401056,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_2.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_2.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_2.out
3,35.807786384,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_3.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_3.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_3.out
4,35.732504044,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_4.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_4.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_4.out
5,35.857038103,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_5.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_5.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_5.out
6,35.940707726,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_6.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_6.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_6.out
7,36.496433898,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_7.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_7.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_7.out
8,36.004026818,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_8.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_8.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_8.out
9,36.003811337,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_9.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_9.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_9.out
10,35.649622293,Results/np2/dynamic_threshold_threshold_0p0003125/metrics_run_10.csv,Results/np2/dynamic_threshold_threshold_0p0003125/total_time_run_10.txt,Results/np2/dynamic_threshold_threshold_0p0003125/logs/run_10.out
