run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
5,100,threshold,rebalance,accepted by fixed threshold; diff=0.348279; threshold=0.1,10.407028410,9.260987656,0.360173360,0.143550339,10.407028410,9.260987656,0.360173360,0.143550339,0.250000000|0.500000000|0.750000000|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,0.093114304|6.148737809|0.094236384|10.407028410
5,1100,threshold,skip,load difference below fixed threshold; diff=0.00644234; threshold=0.1,2.418124258,1.874446263,0.010353129,0.000000000,12.825152668,11.135433919,0.370526489,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.608272832|1.914406139|1.574997984|2.418124258
5,2100,threshold,skip,load difference below fixed threshold; diff=0.00501945; threshold=0.1,2.179562180,1.786029459,0.009581733,0.000000000,15.004714848,12.921463378,0.380108222,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.493437499|0.500937521|0.996874988|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577875584|1.618804995|1.552149440|2.179562180
5,3100,threshold,skip,load difference below fixed threshold; diff=0.00533997; threshold=0.1,1.802695175,1.795322060,0.009596190,0.000000000,16.807410023,14.716785438,0.389704412,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.493124992|0.500625014|0.996249974|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577627680|1.564911200|1.552162592|1.802695175
5,4100,threshold,skip,load difference below fixed threshold; diff=0.00574521; threshold=0.1,1.577707360,1.790555312,0.009601218,0.000000000,18.385117383,16.507340750,0.399305630,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.492812514|0.500312507|0.995625019|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577707360|1.540716466|1.551847168|1.511540195
5,5100,threshold,skip,load difference below fixed threshold; diff=0.00621865; threshold=0.1,1.577686624,1.847246488,0.009634323,0.000000000,19.962804007,18.354587238,0.408939953,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577686624|1.521869033|1.551989888|1.371202086
5,6100,threshold,skip,load difference below fixed threshold; diff=0.00648012; threshold=0.1,1.577732832,1.791210544,0.009465866,0.000000000,21.540536839,20.145797782,0.418405819,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.492187500|0.500000000|0.994687498|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577732832|1.507375813|1.552203712|1.306995060
5,7100,threshold,skip,load difference below fixed threshold; diff=0.00653265; threshold=0.1,1.577689568,1.827555225,0.012258888,0.000000000,23.118226407,21.973353007,0.430664707,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.492187500|0.500000000|0.994374990|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577689568|1.500795243|1.552106048|1.226445914
5,8100,threshold,skip,load difference below fixed threshold; diff=0.0068251; threshold=0.1,1.577595072,1.832965706,0.009370603,0.000000000,24.695821479,23.806318713,0.440035310,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.491874993|0.500000000|0.994062483|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577595072|1.498127681|1.552393344|1.177709938
5,9100,threshold,skip,load difference below fixed threshold; diff=0.00659959; threshold=0.1,1.578040736,1.861225875,0.009476202,0.000000000,26.273862215,25.667544588,0.449511512,0.143550339,0.496874988|0.504374981|0.995625019|1.000000000,0.492187500|0.500000000|0.994062483|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.578040736|1.507757234|1.554174400|1.147095731
