run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,26.298497901,25.773789916,0.355341064,0.138898823
2,26.382342837,26.005176169,0.356115001,0.145643162
3,26.241360489,25.655283087,0.351963637,0.142701759
4,26.222205725,25.679638509,0.351729177,0.142501593
5,26.384416624,25.855914006,0.364569387,0.149290860
6,26.278144222,25.766994846,0.354978686,0.145748306
7,26.274000261,25.968054844,0.355587423,0.145802890
8,26.240068119,25.841499195,0.358629847,0.148166490
9,26.272420088,25.684582441,0.352328503,0.143112991
10,26.309828026,25.864048897,0.355988693,0.140665327
