run_id,total_time_s,metrics_file,timing_file,log_file
1,35.685038729,Results/np2/static_profiled_profiled/metrics_run_1.csv,Results/np2/static_profiled_profiled/total_time_run_1.txt,Results/np2/static_profiled_profiled/logs/run_1.out
2,35.747356631,Results/np2/static_profiled_profiled/metrics_run_2.csv,Results/np2/static_profiled_profiled/total_time_run_2.txt,Results/np2/static_profiled_profiled/logs/run_2.out
3,35.629939294,Results/np2/static_profiled_profiled/metrics_run_3.csv,Results/np2/static_profiled_profiled/total_time_run_3.txt,Results/np2/static_profiled_profiled/logs/run_3.out
4,35.587218703,Results/np2/static_profiled_profiled/metrics_run_4.csv,Results/np2/static_profiled_profiled/total_time_run_4.txt,Results/np2/static_profiled_profiled/logs/run_4.out
5,35.733539911,Results/np2/static_profiled_profiled/metrics_run_5.csv,Results/np2/static_profiled_profiled/total_time_run_5.txt,Results/np2/static_profiled_profiled/logs/run_5.out
6,35.569696571,Results/np2/static_profiled_profiled/metrics_run_6.csv,Results/np2/static_profiled_profiled/total_time_run_6.txt,Results/np2/static_profiled_profiled/logs/run_6.out
7,35.920609269,Results/np2/static_profiled_profiled/metrics_run_7.csv,Results/np2/static_profiled_profiled/total_time_run_7.txt,Results/np2/static_profiled_profiled/logs/run_7.out
8,35.647961040,Results/np2/static_profiled_profiled/metrics_run_8.csv,Results/np2/static_profiled_profiled/total_time_run_8.txt,Results/np2/static_profiled_profiled/logs/run_8.out
9,35.605512505,Results/np2/static_profiled_profiled/metrics_run_9.csv,Results/np2/static_profiled_profiled/total_time_run_9.txt,Results/np2/static_profiled_profiled/logs/run_9.out
10,35.766723655,Results/np2/static_profiled_profiled/metrics_run_10.csv,Results/np2/static_profiled_profiled/total_time_run_10.txt,Results/np2/static_profiled_profiled/logs/run_10.out
