run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.327994875,45.006178819,0.462811773,0.087286307
2,14.319189723,43.916325855,0.463940440,0.097092794
3,14.327519692,43.893394821,0.461513147,0.088194389
4,14.326129317,43.575157518,0.446946829,0.085953164
5,14.344560880,44.175378507,0.467798442,0.097173595
6,14.316502124,44.809012764,0.463652350,0.089504947
7,14.328098286,43.358205366,0.500733272,0.131291360
8,14.360868582,43.991928616,0.474933652,0.108678903
9,14.363739460,43.899038567,0.525153006,0.155038244
10,14.363340994,44.219874181,0.471571005,0.096465585
