run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
2,100,threshold,rebalance,accepted by fixed threshold; diff=0.247425; threshold=0.0003125,5.397141891,5.252576475,0.288851419,0.071552061,5.397141891,5.252576475,0.288851419,0.071552061,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.247187495|0.250937492|0.501250029|0.505312502|0.748437524|0.751250029|0.997812510|1.000000000,0.247187495|0.250937492|0.501250029|0.505312502|0.748437524|0.751250029|0.997812510|1.000000000,0.048812736|3.017036478|0.048206720|3.058949196|0.049577344|4.274892261|0.048915424|5.397141891
2,1100,threshold,rebalance,accepted by fixed threshold; diff=0.00411032; threshold=0.0003125,1.402079428,4.245696407,0.031603899,0.014680163,6.799221319,9.498272882,0.320455318,0.086232224,0.247187495|0.250937492|0.501250029|0.505312502|0.748437524|0.751250029|0.997812510|1.000000000,0.247187495|0.250937492|0.498750001|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.247187495|0.250937492|0.498750001|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.939464576|0.918215412|0.948186976|1.150184517|0.924989504|1.402079428|0.935097216|1.359835475
2,2100,threshold,rebalance,accepted by fixed threshold; diff=0.000625007; threshold=0.0003125,0.953948994,4.366002357,0.018528683,0.002686923,7.753170313,13.864275239,0.338984001,0.088919147,0.247187495|0.250937492|0.498750001|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.246875003|0.250937492|0.498437494|0.502187490|0.748749971|0.751250029|0.998437524|1.000000000,0.246875003|0.250937492|0.498437494|0.502187490|0.748749971|0.751250029|0.998437524|1.000000000,0.938745056|0.895204461|0.938691392|0.879843339|0.938800800|0.744153917|0.938708256|0.953948994
2,3100,threshold,rebalance,accepted by fixed threshold; diff=0.000937472; threshold=0.0003125,0.937714592,4.379603970,0.020264162,0.004706253,8.690884905,18.243879209,0.359248163,0.093625400,0.246875003|0.250937492|0.498437494|0.502187490|0.748749971|0.751250029|0.998437524|1.000000000,0.246562496|0.250625014|0.498124987|0.501874983|0.748125017|0.751250029|0.998125017|1.000000000,0.246562496|0.250625014|0.498124987|0.501874983|0.748125017|0.751250029|0.998125017|1.000000000,0.937563808|0.928981574|0.936924160|0.909362545|0.937714592|0.786202583|0.937046656|0.786990231
2,4100,threshold,rebalance,accepted by fixed threshold; diff=0.00136217; threshold=0.0003125,0.937282112,4.349865864,0.025348937,0.008522806,9.628167017,22.593745073,0.384597100,0.102148206,0.246562496|0.250625014|0.498124987|0.501874983|0.748125017|0.751250029|0.998125017|1.000000000,0.246250004|0.250312507|0.497500002|0.501562476|0.747500002|0.750625014|0.997500002|1.000000000,0.246250004|0.250312507|0.497500002|0.501562476|0.747500002|0.750625014|0.997500002|1.000000000,0.936601120|0.929827519|0.937282112|0.897835883|0.936807616|0.868897105|0.936054368|0.717347783
2,5100,threshold,rebalance,accepted by fixed threshold; diff=0.00116926; threshold=0.0003125,0.944789467,4.348979307,0.020610520,0.005361769,10.572956484,26.942724380,0.405207620,0.107509975,0.246250004|0.250312507|0.497500002|0.501562476|0.747500002|0.750625014|0.997500002|1.000000000,0.246250004|0.250312507|0.496874988|0.500937521|0.746874988|0.750312507|0.997187495|1.000000000,0.246250004|0.250312507|0.496874988|0.500937521|0.746874988|0.750312507|0.997187495|1.000000000,0.935077408|0.931003250|0.936680640|0.944789467|0.934993088|0.835006547|0.935397920|0.821392687
2,6100,threshold,rebalance,accepted by fixed threshold; diff=0.000765471; threshold=0.0003125,0.946388712,4.317951007,0.021036411,0.004287694,11.519345196,31.260675387,0.426244031,0.111797669,0.246250004|0.250312507|0.496874988|0.500937521|0.746874988|0.750312507|0.997187495|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.935992992|0.935732931|0.934031712|0.946388712|0.934414464|0.863867457|0.935901280|0.870537092
2,7100,threshold,skip,new partition identical,0.934842240,4.301143961,0.015512121,0.000000000,12.454187436,35.561819348,0.441756152,0.111797669,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.934276480|0.927558943|0.933853568|0.933121960|0.934480384|0.915681289|0.934842240|0.890843372
2,8100,threshold,rebalance,accepted by fixed threshold; diff=0.000312507; threshold=0.0003125,0.935123168,4.290980551,0.017867091,0.001655936,13.389310604,39.852799899,0.459623243,0.113453605,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.934666112|0.931174050|0.933882464|0.933216273|0.934266464|0.904914899|0.935123168|0.864333988
2,9100,threshold,rebalance,accepted by fixed threshold; diff=0.000312507; threshold=0.0003125,0.934560768,4.305334383,0.017195918,0.001665640,14.323871372,44.158134282,0.476819161,0.115119245,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746249974|0.750312507|0.996562481|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746249974|0.750312507|0.996562481|1.000000000,0.934431520|0.926878931|0.933771968|0.930844334|0.934560768|0.897202582|0.934090240|0.905083681
