Max_Volume_Bytes	m_TempoPorByte	b_Latencia
1	9.75975e-06	7.40413e-05
2	0	8.38011e-05
4	0	8.36157e-05
8	0	8.35873e-05
16	8.16e-09	8.34889e-05
32	0	8.36195e-05
64	1.8635e-09	8.35316e-05
128	1.46092e-09	8.35574e-05
256	0	8.37444e-05
512	6.40781e-10	8.34457e-05
1024	3.49272e-08	6.58911e-05
1500	1.62253e-07	0
2048	2.64992e-08	0.00013914
4096	3.15058e-08	0.000128887
8192	0	0.000257934
16384	1.04528e-08	0.00016444
32768	1.06771e-08	0.000160766
65536	1.46767e-08	2.97073e-05
131072	1.04629e-08	0.000305859
262144	1.44229e-08	0
524288	1.71185e-08	0
1048576	1.78619e-08	0
4194304	1.83041e-08	0
16777216	1.80089e-08	0
